                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.73907,                0.47806,                 1.0598,                0.90645,                0.97413,                0.98431,                0.75259,                 1.0478,                0.53763,                 1.2291,             0.00023121,             0.00023121,             0.00023121
                     90,                 0.7122,                0.46424,                 1.0533,                0.91458,                 0.9656,                0.98532,                0.75577,                0.99176,                0.53656,                  1.218,             0.00021471,             0.00021471,             0.00021471
                     91,                0.67662,                0.43296,                  1.032,                 0.9206,                0.95535,                0.98315,                0.74463,                 1.0124,                 0.5361,                 1.2125,             0.00019821,             0.00019821,             0.00019821
                     92,                 0.6778,                0.41636,                 1.0305,                 0.9305,                0.95413,                0.98498,                0.75559,                0.97766,                0.51874,                 1.2267,              0.0001817,              0.0001817,              0.0001817
                     93,                0.66529,                0.41095,                 1.0284,                0.92151,                  0.968,                0.98275,                 0.7559,                0.99007,                0.51027,                 1.2292,              0.0001652,              0.0001652,              0.0001652
                     94,                0.65543,                0.40072,                 1.0245,                0.91761,                0.95824,                0.98247,                0.76972,                0.98151,                 0.5177,                 1.1897,              0.0001487,              0.0001487,              0.0001487
                     95,                0.65032,                0.40185,                 1.0174,                0.93001,                0.95034,                0.98186,                 0.7721,                0.97552,                0.51552,                 1.1784,             0.00013219,             0.00013219,             0.00013219
                     96,                0.63492,                0.39176,                 1.0021,                0.92277,                0.96505,                0.98428,                0.76723,                 0.9765,                0.50193,                 1.1825,             0.00011569,             0.00011569,             0.00011569
                     97,                0.64496,                0.38752,                 1.0182,                0.93518,                0.95696,                0.98789,                0.75894,                0.97377,                0.49701,                 1.1988,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.65025,                0.39018,                 1.0057,                0.93181,                0.95642,                0.98679,                0.75977,                0.98396,                0.49621,                  1.202,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.64399,                0.39055,                 1.0044,                0.92951,                0.96368,                0.98802,                0.76798,                0.99137,                0.50088,                 1.2135,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.62271,                0.38147,                 1.0036,                 0.9261,                0.96424,                0.98726,                0.76657,                 1.0022,                0.50667,                 1.2235,             4.9677e-05,             4.9677e-05,             4.9677e-05
